"","ListingKey","ListingNumber","ListingCreationDate","CreditGrade","Term","LoanStatus","ClosedDate","BorrowerAPR","BorrowerRate","LenderYield","EstimatedEffectiveYield","EstimatedLoss","EstimatedReturn","ProsperRating..numeric.","ProsperRating..Alpha.","ProsperScore","ListingCategory..numeric.","BorrowerState","Occupation","EmploymentStatus","EmploymentStatusDuration","IsBorrowerHomeowner","CurrentlyInGroup","GroupKey","DateCreditPulled","CreditScoreRangeLower","CreditScoreRangeUpper","FirstRecordedCreditLine","CurrentCreditLines","OpenCreditLines","TotalCreditLinespast7years","OpenRevolvingAccounts","OpenRevolvingMonthlyPayment","InquiriesLast6Months","TotalInquiries","CurrentDelinquencies","AmountDelinquent","DelinquenciesLast7Years","PublicRecordsLast10Years","PublicRecordsLast12Months","RevolvingCreditBalance","BankcardUtilization","AvailableBankcardCredit","TotalTrades","TradesNeverDelinquent..percentage.","TradesOpenedLast6Months","DebtToIncomeRatio","IncomeRange","IncomeVerifiable","StatedMonthlyIncome","LoanKey","TotalProsperLoans","TotalProsperPaymentsBilled","OnTimeProsperPayments","ProsperPaymentsLessThanOneMonthLate","ProsperPaymentsOneMonthPlusLate","ProsperPrincipalBorrowed","ProsperPrincipalOutstanding","ScorexChangeAtTimeOfListing","LoanCurrentDaysDelinquent","LoanFirstDefaultedCycleNumber","LoanMonthsSinceOrigination","LoanNumber","LoanOriginalAmount","LoanOriginationDate","LoanOriginationQuarter","MemberKey","MonthlyLoanPayment","LP_CustomerPayments","LP_CustomerPrincipalPayments","LP_InterestandFees","LP_ServiceFees","LP_CollectionFees","LP_GrossPrincipalLoss","LP_NetPrincipalLoss","LP_NonPrincipalRecoverypayments","PercentFunded","Recommendations","InvestmentFromFriendsCount","InvestmentFromFriendsAmount","Investors"
"36591","039033787944386283696E8",82349,"2007-01-07 17:51:14.277000000","E",36,"Defaulted","2008-08-18 00:00:00",0.17722,0.17,0.165,NA,NA,NA,NA,"",NA,0,"","Professional","Not available",NA,"False","True","FE113364863511529673D04","2006-12-30 12:57:54.790000000",560,579,"1996-08-24 00:00:00",NA,NA,37,19,409,6,11,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.44,"Not displayed","True",4166.666667,"ED4733802668375462CD611",NA,NA,NA,NA,NA,NA,NA,NA,1997,19,86,6672,5000,"2007-01-19 00:00:00","Q1 2007","CA7F33776638848413D6430",178.26,2495.64,1652.81,842.83,-24.79,0,3347.19,3347.19,0,1,0,0,0,6
"98757","DA9A352301047489823CE03",522802,"2011-08-20 15:28:14.360000000","",36,"Past Due (1-15 days)","",0.35643,0.3199,0.3099,0.2957,0.147,0.1487,2,"E",5,1,"AZ","Medical Technician","Employed",17,"False","False","","2011-08-20 15:28:10",680,699,"1989-11-30 00:00:00",0,0,23,0,0,1,6,4,932,5,2,0,0,0,0,21,0.66,0,0.03,"$25,000-49,999","True",2733.333333,"545B3628437526508273E50",NA,NA,NA,NA,NA,NA,NA,NA,10,NA,31,52664,2000,"2011-08-30 00:00:00","Q3 2011","99E93523241776597CA3880",87.1,2480.9,1388.7,1092.2,-34.14,0,0,0,0,1,0,0,0,14
"7536","0991358221665725154570E",829632,"2013-07-06 07:36:32.367000000","",36,"Completed","2013-09-19 00:00:00",0.13138,0.1034,0.0934,0.0905,0.0274,0.0631,6,"A",8,1,"TX","Computer Programmer","Employed",23,"True","False","","2013-07-07 19:38:42",720,739,"2002-01-14 00:00:00",20,19,44,9,552,0,3,0,0,0,0,0,18918,0.66,8150,29,0.9,0,0.12,"$100,000+","True",8333.333333,"05E03687706588585C98D27",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8,94926,2000,"2013-07-11 00:00:00","Q3 2013","F75E358421496180842C716",64.85,2039.03,2000,39.03,-3.78,0,0,0,0,1,0,0,0,22
"112317","C4B03596594624959D4B5BB",1056467,"2013-12-05 22:05:04.813000000","",36,"Current","",0.0762,0.0629,0.0529,0.05221,0.0099,0.04231,7,"AA",11,1,"MD","Police Officer/Correction Officer","Employed",166,"True","False","","2013-12-05 22:05:08",780,799,"1993-11-26 00:00:00",14,12,58,15,495,0,3,0,0,0,0,0,18664,0.19,77136,57,1,0,0.25,"$100,000+","True",8333.333333,"4AEF36997424565962C8825",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,120925,20000,"2013-12-10 00:00:00","Q4 2013","85593700456036162AA0AFB",611.07,1222.14,1011.15,210.99,-33.55,0,0,0,0,1,0,0,0,354
"104143","828835904062721827C2997",903432,"2013-09-17 10:23:18.290000000","",36,"Current","",0.1709,0.1349,0.1249,0.11929,0.0424,0.07689,5,"B",3,1,"CA","Other","Self-employed",19,"False","False","","2013-09-17 10:23:20",720,739,"1995-04-30 00:00:00",7,6,20,3,120,0,5,0,0,0,0,0,3690,0.77,1060,20,1,1,0.6,"$25,000-49,999","False",2083.333333,"D19F3692823846622D49A3A",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6,101940,4000,"2013-09-23 00:00:00","Q3 2013","24333693190247036330894",135.72,678.6016,464.4,214.2016,-15.78,0,0,0,0,1,0,0,0,1
"20003","8AE03426892305050D5A16C",376992,"2008-08-02 19:37:23.893000000","C",36,"Completed","2011-08-13 00:00:00",0.24416,0.2215,0.2115,NA,NA,NA,NA,"",NA,3,"FL","Other","Part-time",4,"False","False","","2008-08-02 19:09:00.553000000",640,659,"1983-12-02 00:00:00",7,7,25,7,395,2,2,2,0,46,0,0,13504,0.88,1093,18,0.68,1,0.22,"$25,000-49,999","True",2725,"BA1D3427724081597C92147",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,67,35411,1000,"2008-08-13 00:00:00","Q3 2008","74E1342795366030818F7F7",38.27,1377.51,999.99,377.52,-17.03,0,0,0,0,1,0,0,0,33
"88507","FEB235795131728186330FF",783773,"2013-05-20 15:25:32.670000000","",60,"Current","",0.26128,0.2359,0.2259,0.2085,0.0925,0.116,3,"D",5,2,"NY","Engineer - Mechanical","Employed",68,"False","False","","2013-06-20 13:09:00",660,679,"1998-07-07 00:00:00",5,4,22,2,40,3,8,0,0,18,1,0,1317,0.75,433,19,0.78,1,0.37,"$25,000-49,999","True",3640,"0662368514630212206F479",1,26,26,0,0,4000,1439.9,1,0,NA,9,93958,10000,"2013-06-24 00:00:00","Q2 2013","E54E3508165672734D44A0E",285.3,2282.4,749.85,1532.55,-64.96,0,0,0,0,1,0,0,0,145
"25133","B6B03602017824327116757",1177596,"2014-01-31 21:30:06.573000000","",36,"Current","",0.17138,0.135,0.125,0.11858,0.0499,0.06868,5,"B",4,1,"IL","Professional","Employed",74,"False","False","","2014-03-05 11:02:56",660,679,"2006-01-20 00:00:00",16,14,29,14,669,2,17,0,0,0,0,0,28455,0.21,105095,27,1,3,0.25,"$75,000-99,999","True",8166.666667,"2B8B3708151440886579C0B",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,135662,25000,"2014-03-11 00:00:00","Q1 2014","624B3413848204749760E8D",848.38,0,0,0,0,0,0,0,0,1,0,0,0,1
"27106","C07234659483855341E2B45",427897,"2009-10-11 07:08:28.887000000","",36,"Completed","2012-10-23 00:00:00",0.27316,0.2501,0.2401,0.1544,0.08,0.1544,4,"C",8,1,"NC","Professional","Full-time",64,"True","False","","2009-10-08 07:47:56",700,719,"1987-03-01 00:00:00",8,8,28,6,185,1,6,1,0,17,0,0,3636,0.96,268,19,0.62,0,0.09,"$100,000+","True",9500,"B0D73570120874816A97152",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,53,39063,2500,"2009-10-23 00:00:00","Q4 2009","724F337824516102949AB04",69.07,3594.1,2500.01,1094.09,-43.76,0,0,0,0,1,0,0,0,22
"94874","75C53379985143027FE7389",88114,"2007-01-23 17:04:59.617000000","AA",36,"Completed","2010-01-05 00:00:00",0.09437,0.0875,0.075,NA,NA,NA,NA,"",NA,0,"MA","Clerical","Not available",NA,"True","True","783C3371218786870A73D20","2007-01-23 16:59:05.387000000",760,779,"1981-12-17 00:00:00",NA,NA,35,8,147,2,8,0,NA,8,0,NA,NA,NA,NA,NA,NA,NA,0.15,"Not displayed","True",2250,"63EC33805204774444808F3",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,85,7068,6001,"2007-02-01 00:00:00","Q1 2007","AD8B337845214356876A130",190.13,6771.68,6001,770.68,-48.17,0,0,0,0,1,0,0,0,116
